property_id,property_name,location,price
P001,Green Valley Apartments,Mumbai,4500000
P002,Sunrise Heights,Pune,3200000
P003,Lakeview Residency,Bangalore,5800000
P004,Metro Square Flats,Delhi,4100000
P005,Ocean Breeze Villas,Chennai,7200000
P006,Skyline Towers,Hyderabad,3900000
P007,Palm Grove Homes,Kolkata,2800000
P008,Royal Crest Apartments,Ahmedabad,3500000
P009,Emerald Park Residency,Jaipur,2600000
P010,Horizon City Flats,Noida,4800000
P011,Serene Meadows,Pune,2200000
P012,Urban Nest Studios,Mumbai,1900000
P013,Golden Gate Residency,Bangalore,6500000
P014,Riverfront Heights,Delhi,5200000
P015,Maple Leaf Apartments,Chennai,3100000
P016,Silver Oak Residency,Hyderabad,4300000
P017,Crystal Homes,Lucknow,3400000
P018,Blue Sky Enclave,Indore,2900000
P019,Garden View Apartments,Kochi,3800000
P020,Elite Residency,Nagpur,3600000
P021,Prestige Meadows,Bangalore,7600000
P022,Lotus Park Homes,Mysore,2700000
P023,Heritage Residency,Chandigarh,5000000
P024,City Central Towers,Gurgaon,6900000
P025,Harmony Apartments,Visakhapatnam,3300000
P026,Park Avenue Homes,Coimbatore,4200000
P027,Sunshine Residency,Surat,3100000
P028,Dream Heights,Bhubaneswar,2500000
P029,Evergreen Residency,Nashik,2950000
P030,Hill View Apartments,Dehradun,4600000
P031,Prime Square Homes,Patna,2800000
P032,Silver Springs,Vadodara,3700000
P033,Grand Horizon Towers,Gurgaon,8400000
P034,Green Meadows,Vijayawada,3400000
P035,Coral Residency,Mangalore,3900000
P036,Golden Palm Villas,Goa,9500000
P037,Cityscape Apartments,Raipur,3200000
P038,Shanti Enclave,Ranchi,2400000
P039,River Edge Homes,Trivandrum,4700000
P040,Parkside Residency,Madurai,3000000
P041,Elite Heights,Amritsar,4100000
P042,Blue Bell Apartments,Jodhpur,2750000
P043,Lotus Residency,Kanpur,3550000
P044,Rainbow Meadows,Agra,2850000
P045,Orchid Towers,Bhopal,4450000
P046,Signature Residency,Faridabad,5400000
P047,Sun Crest Apartments,Guwahati,3650000
P048,Oakwood Homes,Siliguri,3150000
P049,Infinity Residency,Thane,6200000
P050,West End Heights,Navi Mumbai,5700000
